,img,title,url,language_type
36,https://cdn.inflearn.com/public/courses/324487/course_cover/b2ceb587-47e0-4708-ae2a-35d4f6c271e9/ysh_growthhacking2.png,그로스해킹 - 데이터와 실험을 통해 성장하는 서비스를 만드는 방법,https://www.inflearn.com/course/%EA%B7%B8%EB%A1%9C%EC%8A%A4%ED%95%B4%ED%82%B9-%EB%8D%B0%EC%9D%B4%ED%84%B0-%EC%8B%A4%ED%97%98-%EC%84%B1%EC%9E%A5-%EC%84%9C%EB%B9%84%EC%8A%A4,data-analysis
37,https://cdn.inflearn.com/public/courses/328479/cover/bd05344e-e927-42a7-8e8a-f1cc194eedba/328479-eng.jpg,머신러닝 기초부터 탄탄히 정복하기,https://www.inflearn.com/course/%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D-%EA%B8%B0%EC%B4%88%ED%83%84%ED%83%84-%EC%A0%95%EB%B3%B5,data-analysis
38,https://cdn.inflearn.com/public/courses/327613/cover/88639f95-de1b-46b1-83ba-6489d81452f6/Thumbnail-02.png,[비전공자 대환영] 제로베이스도 쉽게 입문하는 파이썬 데이터 분석 - 캐글입문기,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D-%EC%BA%90%EA%B8%80%EC%9E%85%EB%AC%B8,data-analysis
39,https://cdn.inflearn.com/public/courses/326871/cover/2ad0e730-d068-4095-ab51-62b2c94e49f8/326871-eng.png,[R을 R려줘] R 기초다지기,https://www.inflearn.com/course/r-%EC%95%8C%EB%A0%A4%EC%A4%98-%EA%B8%B0%EC%B4%88%EB%8B%A4%EC%A7%80%EA%B8%B0,data-analysis
40,https://cdn.inflearn.com/public/courses/326320/cover/76c28eb9-4e58-48ad-8f76-14c7a85de2ed,꼭 필요한 엑셀 5시간으로 끝내기와 3시간으로 ITQ엑셀 자격증취득,https://www.inflearn.com/course/%EC%97%91%EC%85%80-5%EC%8B%9C%EA%B0%84-%EB%81%9D%EB%82%B4%EA%B8%B0,data-analysis
41,https://cdn.inflearn.com/public/courses/325731/cover/e850d94c-cae2-47bc-8758-f7aa3a33982b/sql_intermediate_practices.png,[백문이불여일타] 데이터 분석을 위한 중급 SQL 문제풀이,https://www.inflearn.com/course/sql-%EC%A4%91%EA%B8%89-%EB%AC%B8%EC%A0%9C%ED%92%80%EC%9D%B4,data-analysis
42,https://cdn.inflearn.com/public/course-324537-cover/835ace9a-e142-47ed-a8e7-fabdb873c782,파이썬(Python)으로 데이터 기반 주식 퀀트 투자하기 Part1,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%ED%8C%90%EB%8B%A4%EC%8A%A4-%ED%80%80%ED%8A%B8-%ED%88%AC%EC%9E%90,data-analysis
43,https://cdn.inflearn.com/public/courses/328520/cover/69fc4b97-5c43-4353-9a7e-353fbd23c769/inflearn3.jpg,[핵집] 빅데이터 분석기사(필기)_과목 1~2,https://www.inflearn.com/course/%ED%95%B5%EC%A7%91-%EB%B9%85%EB%B6%84%EA%B8%B0-%ED%95%84%EA%B8%B012,data-analysis
44,https://cdn.inflearn.com/public/courses/328429/cover/0e68ecdb-65d3-4da8-8ca7-ecbddf079cc4/328429-eng.png,실무 예제로 끝내는 R 데이터 분석(저자직강),https://www.inflearn.com/course/%EC%8B%A4%EB%AC%B4%EC%98%88%EC%A0%9C-r-%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D,data-analysis
45,https://cdn.inflearn.com/public/courses/328338/cover/d99cf664-d509-4d6d-9d98-e5852c8c11e7/328338-eng.png,처음 시작하는 R 데이터 분석,https://www.inflearn.com/course/%EC%B2%98%EC%9D%8C%EC%8B%9C%EC%9E%91-r-%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D,data-analysis
46,https://cdn.inflearn.com/public/courses/328334/cover/72a0c9da-ff08-4147-9834-831e45e9ba42/banner.png,NEW 2022 12시간 안에 끝내는 R 활용 데이터분석 / 시각화,https://www.inflearn.com/course/12%EC%8B%9C%EA%B0%84-r-%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D,data-analysis
47,https://cdn.inflearn.com/public/courses/328333/cover/583daa4e-147d-469d-a61a-e2bfaf9b41db/328333-eng.png,혼자 공부하는 R 데이터 분석,https://www.inflearn.com/course/%ED%98%BC%EC%9E%90%EA%B3%B5%EB%B6%80-r-%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D,data-analysis
48,https://cdn.inflearn.com/public/courses/327871/cover/5da57e4f-7cf0-416d-baad-3bf7758eb725/327871-eng.png,입문자를 위한 자바스크립트 기초 강의,https://www.inflearn.com/course/%EC%9E%85%EB%AC%B8%EC%9E%90-%EC%9E%90%EB%B0%94%EC%8A%A4%ED%81%AC%EB%A6%BD%ED%8A%B8-%EA%B8%B0%EC%B4%88%EA%B0%95%EC%9D%98,javascript
49,https://cdn.inflearn.com/public/courses/326493/cover/66540835-1c93-4922-b947-6afe375566b4/326493-eng.png,처음 배우는 리액트 네이티브,https://www.inflearn.com/course/%EC%B2%98%EC%9D%8C-%EB%B0%B0%EC%9A%B0%EB%8A%94-%EB%A6%AC%EC%95%A1%ED%8A%B8-%EB%84%A4%EC%9D%B4%ED%8B%B0%EB%B8%8C,javascript
50,https://cdn.inflearn.com/public/courses/326174/cover/b0536120-7de3-4aa8-8266-97cf3881e87d,비전공자를 위한 진짜 입문 올인원 개발 클래스,https://www.inflearn.com/course/%EC%98%AC%EC%9D%B8%EC%9B%90-%EA%B0%9C%EB%B0%9C%ED%81%B4%EB%9E%98%EC%8A%A4,javascript
51,https://cdn.inflearn.com/public/courses/324088/cover/4b082095-db2c-44fe-8f74-dfb6af708ee9/vue_js.png,Vue.js 시작하기 - Age of Vue.js,https://www.inflearn.com/course/age-of-vuejs,javascript
52,https://cdn.inflearn.com/wp-content/uploads/es6_8.jpg,함수형 프로그래밍과 JavaScript ES6+,https://www.inflearn.com/course/functional-es6,javascript
53,https://cdn.inflearn.com/public/courses/328340/cover/13465c65-a83b-4bc1-82b3-71832345759d/328340-eng.png,한입 크기로 잘라 먹는 리액트(React.js) : 기초부터 실전까지,https://www.inflearn.com/course/%ED%95%9C%EC%9E%85-%EB%A6%AC%EC%95%A1%ED%8A%B8,javascript
54,https://cdn.inflearn.com/public/courses/326778/cover/fa701aa5-8e85-4c60-8bd0-32be8a67635b/3A9329DD-8AC3-44FA-AEAA-F981219DC5E2.png,자바스크립트 제대로 배워볼래?,https://www.inflearn.com/course/%EC%9E%90%EB%B0%94%EC%8A%A4%ED%81%AC%EB%A6%BD%ED%8A%B8-%EC%A0%9C%EB%8C%80%EB%A1%9C-%EB%B0%B0%EC%9B%8C%EB%B3%B4%EA%B8%B0,javascript
55,https://cdn.inflearn.com/public/courses/326317/cover/b07dfd4a-a0c8-4fc5-a885-40c5cbb5e325/doitdj.png,Do It! 장고+부트스트랩: 파이썬 웹개발의 정석,https://www.inflearn.com/course/%EB%91%90%EC%9E%87-%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EC%9B%B9%EA%B0%9C%EB%B0%9C,javascript
56,https://cdn.inflearn.com/public/courses/326082/cover/c6519e92-f334-46ac-8a31-6290db19b32a,타입스크립트 입문 - 기초부터 실전까지,https://www.inflearn.com/course/%ED%83%80%EC%9E%85%EC%8A%A4%ED%81%AC%EB%A6%BD%ED%8A%B8-%EC%9E%85%EB%AC%B8,javascript
57,https://cdn.inflearn.com/public/courses/328238/cover/f3821bcd-cac4-470a-b3bc-edc8d699a604/328238-eng.png,자바스크립트 : 기초부터 실전까지 올인원,https://www.inflearn.com/course/%EC%9E%90%EB%B0%94%EC%8A%A4%ED%81%AC%EB%A6%BD%ED%8A%B8-%EC%98%AC%EC%9D%B8%EC%9B%90,javascript
58,https://cdn.inflearn.com/public/courses/328234/cover/a8a34f79-e1c3-48cc-ad7b-adf103c70d80/328234-eng-resize.png,만들면서 배우는 리액트 : 기초,https://www.inflearn.com/course/%EB%A7%8C%EB%93%A4%EB%A9%B4%EC%84%9C-%EB%B0%B0%EC%9A%B0%EB%8A%94-%EB%A6%AC%EC%95%A1%ED%8A%B8-%EA%B8%B0%EC%B4%88,javascript
59,https://cdn.inflearn.com/public/courses/327126/cover/13b0e441-4a3d-44cb-acbb-d86af2412e18/327126-eng-2.png,[리뉴얼] 렛츠기릿 자바스크립트,https://www.inflearn.com/course/%EB%A0%88%EC%B8%A0%EA%B8%B0%EB%A6%BF-%EC%9E%90%EB%B0%94%EC%8A%A4%ED%81%AC%EB%A6%BD%ED%8A%B8,javascript
60,https://cdn.inflearn.com/public/course-325738-cover/d248c2d7-4a02-429d-ae63-51f3053a1ce0/unnamed.gif.mp4,초보자도 만들 수 있는 애플 스크롤 인터렉션. 1편 자바스크립트,https://www.inflearn.com/course/%EC%95%A0%ED%94%8C-%EC%8A%A4%ED%81%AC%EB%A1%A4-%EC%9D%B8%ED%84%B0%EB%A0%89%EC%85%98-%EC%9E%90%EB%B0%94%EC%8A%A4%ED%81%AC%EB%A6%BD%ED%8A%B8,javascript
61,https://cdn.inflearn.com/public/courses/325307/course_cover/587aaeec-bee9-4c1e-9c90-9ae48b20f109/inflearn-original-web-ef.png,프로그래밍 시작하기 : 웹 입문 (Inflearn Original),https://www.inflearn.com/course/%EC%9B%B9%EA%B0%9C%EB%B0%9C-%EC%9E%85%EB%AC%B8-%EC%9D%B8%ED%94%84%EB%9F%B0-%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90,javascript
62,https://cdn.inflearn.com/public/courses/324031/course_cover/9404bff2-89f1-4784-8a74-49b0fa51f13a/fullstack_jeju%28%EC%88%98%EC%A0%95%29.png,코알못에서 웹서비스 런칭까지 : 2021 제주 코딩 베이스캠프(Django),https://www.inflearn.com/course/web_fullstack,javascript
63,https://cdn.inflearn.com/public/courses/327593/cover/3c5219b2-c46c-49c7-a7cc-6d1a99f8a0bd/cover3_2메가.gif.mp4,웹게임을 만들며 배우는 인터렉티브웹! JAVASCRIPT,https://www.inflearn.com/course/%EC%9B%B9%EA%B2%8C%EC%9E%84-%EC%9D%B8%ED%84%B0%EB%A0%89%ED%8B%B0%EB%B8%8C,javascript
64,https://cdn.inflearn.com/public/courses/326944/cover/4bbf7aba-6491-4f11-b6cd-6058725333d6/썸네일_rxjs_2 복사.png,얄코의 반응형 프로그래밍 - 자바스크립트로 쉽게 배우는 ReactiveX,https://www.inflearn.com/course/%EC%96%84%EC%BD%94-%EC%9E%90%EB%B0%94%EC%8A%A4%ED%81%AC%EB%A6%BD%ED%8A%B8-reactivex,javascript
65,https://cdn.inflearn.com/public/courses/326377/cover/f0f0b7b0-a4f1-4ca4-b609-c026c7d5bd20/js_algorithm_best.png,자바스크립트 알고리즘 문제풀이(코딩테스트 대비),https://www.inflearn.com/course/%EC%9E%90%EB%B0%94%EC%8A%A4%ED%81%AC%EB%A6%BD%ED%8A%B8-%EC%95%8C%EA%B3%A0%EB%A6%AC%EC%A6%98-%EB%AC%B8%EC%A0%9C%ED%92%80%EC%9D%B4,javascript
66,https://cdn.inflearn.com/public/courses/326368/cover/7b26110e-1eab-4ab6-8d9c-82381a5afd3d/KakaoTalk_Photo_2021-05-26-22-29-45.jpeg,mongoDB 기초부터 실무까지(feat. Node.js),https://www.inflearn.com/course/%EB%AA%BD%EA%B3%A0%EB%94%94%EB%B9%84-%EA%B8%B0%EC%B4%88-%EC%8B%A4%EB%AC%B4,javascript
67,https://cdn.inflearn.com/public/course-324672-cover/77a2a919-eaaf-4228-9eb3-b28c5818725c,웹 게임을 만들며 배우는 TypeScript,https://www.inflearn.com/course/%EC%9B%B9%EA%B2%8C%EC%9E%84%EC%9D%84-%EB%A7%8C%EB%93%A4%EB%A9%B0-%EB%B0%B0%EC%9A%B0%EB%8A%94-typescript,javascript
68,https://cdn.inflearn.com/public/courses/324033/course_cover/231c55c4-5e77-427d-8344-25e2222cd96f/yjm_web.png,인터랙티브 웹 개발 제대로 시작하기,https://www.inflearn.com/course/interactive_web,javascript
69,https://cdn.inflearn.com/wp-content/uploads/Wallet-1.jpg,EOSJS를 이용한 EOS 심플 월렛 만들기,https://www.inflearn.com/course/eosjs,javascript
